10524,10525,13822
4222,4263,10435,15475
4238,4239,15028,15471
4239,10527,13836,15471
10497,10549,13843,15017
4203,4272,10498,15477
10453,10500,10501,13860
10501,10502,15466,15484
4257,10562,13816,15008
10191,13865,14958,15033
4261,4279,15022
4297,13885,15024,15479
10462,10511,10566,13867
4295,15023,15034,15040
4295,10615,13847,15040
4256,4323,13863,15482
909,10618,13840,15685
908,13840,15021,15685
10512,10621,13876,15483
4331,10630,13851,15044
4281,4333,10634
10667,13860,13905,15484
10668,10717,15030,15038
10775,15058,15479,15485
10776,13865,15487,15671
10679,10680,10732,15035
10576,10682,10733,10839
10735,13880,13910,15037
921,10661,13883,15629
920,10661,10662,15629
4342,10672,10772,13875
4332,10843,13868,15538
4358,10768,10822,13884
10724,10725,10830,13864
10835,13878,13887,15489
4331,4385,15044,15631
10632,10784,10785,10840
4361,10829,15057
10777,13894,13908,13915
10780,10833,13895,15059
10834,10880,13897,15489
940,10826,13913,15491
941,10830,15067,15493
10833,13916,13929,15059
4418,10836,13917
4421,11982,13919,15538
10848,10887,10935,13920
10878,10920,10967,15062
933,10826,13923,15491
934,15067,15083,15493
10842,10987,13918,15494
10886,10988,13931
4415,11031,13926,15064
4431,10930,10982,13936
4434,10884,11037
4425,11080,11081,15492
4444,11227,15493
4428,10980,11032,13944
11039,11091,13931
11085,11086,15093,15495
4473,11138,13937,13948
4461,4474,13953,15496
4463,11036,11089,13955
4464,4928,11983
4467,11134,13934,13959
4484,13942,13973,15072
4502,13951,15084,15685
962,11083,13961,15633
4488,13947,13948,13963
4471,13974,14027,15633
959,11228,13961,15633
11139,11188,11231,11272
11038,11190,13957,15085
4505,4515,13965,13976
4491,11234,11984,13986
4497,11270,14005,15090
4499,13960,13991,15095
4514,11230,13994,13995
11233,11313,11359,15634
4507,13977,13984,13998
4529,11275,13967,13985
13979,15094,15097
11477,13981,15502,15504
4494,11269,14003,15504
11352,13990,15091,15505
4517,11318,13986,14009
979,11363,15094,15097
978,11363,15094,15098
4536,11393,13970,14015
11226,14016,15082
987,4502,11353,15084
13994,13995,14006,15103
11311,11397,15503
11315,11316,13999,15105
11184,13980,14015,15119
982,11353,15509
4553,11441,14007
11358,11443,15506
4544,14010,15107,15507
4556,14011,14023,14033
11434,11475,15102
11228,11396,11437,14049
4552,4573,14050,15108
11401,11481,14019,15637
11482,15104
11447,14040,15107,15507
4560,14045,15110,15111
11435,11508,14066,15120
11537,14025,14035,14047
4563,4591,15112,15636
4594,15114
14030,14037,15124
4600,14062,15115
4585,11531,14034,15118
4586,11475,11532,14043
4588,4606,14045,15111
4634,15141,15512
11515,14037,14061
4580,11546,14054,15115
4607,14035,14067,15120
4608,11570,14051
4592,11573,14059
11541,14053,14059,15514
11512,11544,11578,14072
11534,11562,11597,15131
11536,11563,11564,15529
4618,11508,14066,14082
11538,11603
4620,11541,11610,15514
11626,15128,15131
4636,11630,14070,15515
11573,15138,15514,15638
11619,11620,14077,15140
1042,11599,14132,14133
11601,14048
4663,14111,15137
11640,11665,14091,14100
11621,11642,11669,14102
4655,4689,14106,14107
4692,11648,14095,14119
14111,14112,14125,15137
4678,14071,14126,15518
4699,11656,11689,15138
11632,11657,11658,14127
1037,11649,11681,11704
1036,11649,11704,15517
11652,11686,14109,14136
4696,14112,14125,14141
4704,14114,14115,14138
11663,11694,14129,15526
1025,14132,14133,14172
4714,14131,14144,15155
4717,11723,15156
14120,14134,14148,15157
1055,11682,11683,15157
4725,11739,14121,15151
4750,14144,15155,15522
4768,11705,11738,15150
4743,11767,14142,14189
11728,11753,14163,15145
4734,11731,11754,14166
4749,11736,14154,14168
14119,15164,15533
1046,11683,14173,15157
11743,11766,14174,14175
4759,11771,11786,14153
4764,14155,14179,15528
4786,11782,14159,15527
4776,11789,14165,15175
4790,4802,14161,14201
4777,11812,15171
4809,11841,14170,15168
11797,11820,14195,14208
1073,14148,15169
11807,11808,11832,11854
4810,4821,11818,14193
4846,11842,11897,15529
4807,11862,11883,15172
4799,4822,11843,14216
15176,15180
11842,11865,11897,14242
1065,11898,11899,15169
4831,11844,11866,15534
4823,11867,11889,15537
1079,11890,14212,15643
1080,11869,14225,15643
11885,14223,14232,15532
1076,11890,11917,15643
1077,14225,14234,15643
11908,14214,14237
4865,14222,14231,15184
4855,4872,11899,14255
11904,11905,11922
11922,11936,14227,14235
4885,11821,11934,11991
4888,11921,14243
4858,14244,15187,15193
1090,15189
1089,11955,14247,15189
11942,14259
4894,11949,14241
4871,4884,11990,14248
4907,11935,11957,14249
14244,15193
4899,11937,14262
4876,11953,11954,11961
4886,4908,11951,11965
4889,15535
11960,11969,14237,15536
4877,4904,11962
11993,14255,15185
4907,11964,14249
11916,11964,15537
4910,11958
4911,11959,11966
11918,11966,11967
1109,11968,15191
1108,1116,15191
1111,14236,14262
1110,4913,14236
2638,2675,12931
10297,10324,11980
4885,11934,15646
11957,11993,15534
1109,15191,15195
11960,11969,11992
61,1119,4944,4947
61,1118,11970
4951,4953,11999,12002
1122,1125,14273,14275
64,1121,4955,14273,14275
4953,4957,4958,12002
1126,4952,4959,14274
1121,4954,4961,14275
1124,4959,4966,12004
4956,4962,4963,4971
1129,4963,4973,15200
1128,1130,4974,15200
1129,1131,4975,15200
1130,1132,4976,15200
1131,4977,15196,15200
1134,4965,4980,12005
1133,4981,12005,12007
1136,4960,4967,4983
1135,4961,4968,4984
1138,4977,4995,15196
1137,4995,12011,14268,15196
1143,4964,4978,11971
4981,4998,12007,12008
1146,4966,4982,12008
4982,5001,12009,14276
1139,1150,4996,14277
4979,4996,4997,12012
4981,4997,4998,12013
1141,4999,5000,14279
1151,4985,5002,5003
4989,5005,5011,12010
4995,5009,5017,12011
1143,1153,12012,14277
1147,1152,5002,12015
1151,5003,5004
1150,5043,12014,14277
5019,5030,12013,12014
1156,5018,5029,5041
1155,5018,5042,14280
5019,5030,5031,12018
66,5020,5032,14282
5022,5034,5045,12017
1161,5042,5054,14280
1160,5055,14280,14281
67,5033,12017,15542
5034,5045,5046,12020
5055,5066,14281,15201
68,5044,5056,12022,15202
1169,5046,5057,12020
5067,5068,5076,14282
5068,5077,5089,12019
1166,12020,12021,12024
5058,5069,5078,12021
1172,5066,5075,5086
1171,5066,5087,15201
5067,5076,12018,12023
1175,5087,5096,15201
1174,1176,5097,15201
1175,5088,5098,15201
69,5076,12023,12030
1179,5078,5090,15647
1178,5079,12025,15647
1181,5081,12025,12027
1180,5082,5091,12027
5099,5105,12026,14284
5091,5100,5107,12027
5094,5101,12028,12031
5096,5102,5109,12028
70,5118,11972,15202
71,12024,14286,15647
5108,5114,5119,12031,15203
5110,5116,5117,12033
5112,5117,5121,12032
1192,1196,5106,12032
1191,5106,14285,14287
12029,12030,12037,14293
5113,5119,5123,15647
5117,5121,12033,12035
1191,5122,14287,14289
73,5130,12029,12037,14286
5119,5123,12038
5123,5134,12038,14292
76,5126,12034,12035,14290
5124,5126,5131,14289
2,5129,12048,14288
5126,5131,12043,14290
78,1210,5131,12043
1211,5128,5136,12040,12046
1207,1212,12041,15539
1206,1208,5132,15539
1207,1209,1213,15539
1208,5133,14269,15539
1204,5135,12043,12045,14291
1205,5136,5137,12040,12054
1206,5132,12049,12050
1208,5132,5133,12051
5133,5138,12052,14269
5140,5141,12048,14293,14297
1217,5147,5148,12047,12052
1216,5139,12047,12057
5134,5172,14294,15204,15206
1220,5136,5145,12046,15205
1219,1227,5136,12054
5137,12049,12054,14295,15207
1223,1230,5139,12060,15540
1222,1224,5149,15540
1223,1225,5150,15540
1224,5151,15540,15689
